Cod_setor,V062,V063,V064,V065,V066,V067,V068,V069,V070,V071,V072,V073,V074,V075,V076,V077,V078,V079,V080,V081,V082,V083,V084,V085,V086,V087,V088,V089,V090,V091,V092,V093,V094,V095,V096,V097,V098,V099,homem,mulher,maioria
251250705000001,26,49,35,15,2,7,14,3,1,0,0,0,0,23,24,6,1,0,1,30,34,25,12,7,3,22,22,8,3,2,1,0,8,6,2,0,0,0,207,185,HOMEM
251250705000002,52,69,45,29,7,8,18,0,3,0,0,0,0,52,29,17,5,0,0,28,33,22,8,6,4,20,20,19,3,0,1,0,8,2,2,0,0,0,334,176,HOMEM
251250705000003,43,49,41,21,13,2,15,0,1,1,0,0,0,43,21,6,4,1,0,18,20,14,7,0,3,12,6,9,2,0,0,0,12,7,1,0,0,0,261,111,HOMEM
251250705000004,40,43,40,25,12,7,13,2,0,0,0,0,0,38,17,9,1,1,0,38,42,24,13,10,4,11,27,9,6,2,0,0,11,7,0,0,0,0,248,204,HOMEM
251250705000005,29,45,34,19,7,9,7,3,0,0,0,0,0,26,22,12,5,0,0,40,31,12,10,3,2,25,32,9,4,0,0,0,8,3,0,0,0,0,218,179,HOMEM
251250705000006,32,47,63,28,12,4,7,2,0,0,0,0,0,30,26,12,3,1,0,16,15,4,6,2,2,5,7,4,1,1,1,0,9,4,1,1,0,0,267,79,HOMEM
251250705000007,11,25,22,15,3,1,11,0,0,0,0,0,0,11,11,5,2,1,0,24,28,16,12,6,4,6,15,14,5,1,0,0,9,4,0,0,0,0,118,144,MULHER
251250705000008,38,47,30,23,10,9,8,1,1,1,0,0,0,37,20,8,4,0,0,31,21,30,18,7,7,17,20,9,7,1,0,0,11,2,0,0,0,0,237,181,HOMEM
251250705000009,30,35,29,16,3,4,7,5,1,0,0,0,0,25,9,7,2,0,0,24,30,12,8,9,3,13,16,15,3,1,0,0,8,4,0,0,1,0,173,147,HOMEM
251250705000010,24,48,33,25,10,4,10,1,1,0,0,0,0,23,25,10,6,0,0,44,27,23,11,7,5,15,33,11,5,0,0,0,11,0,2,1,0,0,220,195,HOMEM
251250705000011,29,40,57,27,6,8,11,0,0,0,0,0,0,29,24,16,4,0,0,24,19,11,7,6,3,12,15,4,1,1,0,0,9,2,1,0,0,0,251,115,HOMEM
251250705000012,48,74,59,33,9,6,17,4,2,0,0,0,0,44,33,13,4,0,1,38,38,22,3,2,7,20,20,8,5,0,0,1,18,10,1,0,0,0,347,193,HOMEM
251250705000013,24,40,31,13,8,6,5,1,0,0,0,0,0,23,27,9,0,1,0,47,27,17,12,3,5,16,37,7,3,1,0,1,10,6,1,0,0,0,188,193,MULHER
251250705000014,19,39,42,21,6,3,5,4,0,0,0,0,0,15,16,14,3,0,0,13,12,10,4,4,0,9,8,3,2,0,0,0,5,3,1,0,0,0,187,74,HOMEM
251250705000015,29,32,30,18,8,4,11,1,0,0,0,0,0,28,18,8,4,1,1,33,25,14,8,0,2,15,21,9,6,0,0,0,12,6,0,0,0,0,193,151,HOMEM
251250705000016,39,39,32,19,1,5,9,2,1,0,0,0,0,37,21,4,2,0,0,31,25,17,11,5,7,18,19,8,7,1,0,0,12,3,0,0,0,0,211,164,HOMEM
251250705000017,18,43,28,24,11,7,8,1,1,0,0,0,0,17,20,7,3,0,0,20,14,6,10,2,2,7,16,7,0,1,1,0,4,0,0,0,0,0,188,90,HOMEM
251250705000018,27,41,34,19,15,7,5,2,0,0,0,0,0,25,15,6,0,0,0,10,9,2,0,6,3,6,6,4,0,0,0,0,4,0,0,0,0,1,196,51,HOMEM
251250705000019,62,60,62,32,10,12,7,2,0,0,0,0,0,60,27,13,4,1,0,27,31,13,5,3,4,18,16,8,5,0,0,1,11,3,0,1,0,0,352,146,HOMEM
251250705000020,24,24,10,3,0,1,3,1,0,0,0,0,0,23,12,1,0,0,0,2,3,1,0,0,0,4,2,0,0,0,0,0,0,0,1,0,0,0,102,13,HOMEM
251250705000021,12,12,9,7,3,4,11,1,1,0,0,0,0,11,5,2,0,0,1,12,14,10,8,6,5,9,10,6,1,1,1,0,2,1,0,1,0,0,79,87,MULHER
251250705000022,34,27,21,25,13,10,9,4,0,0,0,0,0,30,16,5,6,0,0,7,6,2,3,1,1,10,6,3,0,0,0,0,1,0,0,1,0,0,200,41,HOMEM
251250705000023,23,37,27,20,11,9,12,0,0,0,0,0,0,23,18,9,1,0,0,4,5,3,0,1,1,4,2,1,1,0,0,0,2,2,1,0,0,0,190,27,HOMEM
251250705000024,20,27,33,17,5,4,6,3,0,0,0,0,0,17,14,10,1,0,0,4,8,10,6,2,1,9,2,3,2,0,0,0,2,0,0,0,0,0,157,49,HOMEM
251250705000025,11,28,15,6,1,1,8,0,1,0,0,0,0,11,12,3,1,0,0,16,5,6,4,2,2,3,7,1,0,1,0,0,9,0,2,0,0,0,98,58,HOMEM
251250705000026,6,8,9,6,2,2,1,0,0,0,0,0,0,6,4,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,45,2,HOMEM
251250705000027,6,12,6,0,5,6,0,0,0,0,0,0,0,6,8,2,0,0,0,3,3,0,0,1,0,0,1,0,0,0,0,0,2,1,0,0,0,0,51,11,HOMEM
251250705000028,42,39,38,24,10,8,21,3,0,0,0,0,0,39,16,8,4,0,0,39,78,54,50,17,21,15,32,30,14,6,0,2,7,3,1,0,0,0,252,369,MULHER
251250705000029,52,90,68,30,12,6,14,1,2,0,0,0,0,51,45,14,3,1,0,24,23,17,13,6,7,14,15,9,1,2,0,0,9,3,0,0,0,0,389,143,HOMEM
251250705000030,62,59,60,25,12,7,13,3,0,0,0,0,0,59,33,20,1,1,0,28,27,11,8,5,2,15,19,7,3,0,0,0,9,9,2,0,0,0,355,145,HOMEM
251250705000031,46,97,66,35,15,6,15,3,0,0,0,0,0,43,39,13,6,0,0,20,21,14,8,2,2,11,12,6,2,0,0,0,8,5,1,0,0,0,384,112,HOMEM
251250705000032,30,30,26,15,4,4,12,3,0,0,0,0,0,27,7,4,0,0,0,15,10,1,5,1,2,5,10,2,0,0,0,0,5,2,1,0,0,0,162,59,HOMEM
251250705000033,24,24,24,16,10,15,9,2,1,0,0,0,0,22,11,6,3,1,0,7,4,2,0,3,4,5,4,1,0,0,1,0,3,0,0,0,0,0,168,34,HOMEM
251250705000034,10,20,15,14,8,8,9,0,0,0,0,0,0,10,9,5,1,0,0,4,9,0,5,2,3,4,2,3,0,0,0,0,2,2,0,0,0,0,109,36,HOMEM
251250705000035,24,17,25,12,10,7,10,1,0,0,0,0,0,23,11,8,3,0,0,12,13,10,6,2,2,11,6,3,2,1,0,0,6,3,3,0,0,0,151,80,HOMEM
251250705000036,19,7,4,3,1,2,12,3,0,0,1,0,0,16,3,0,0,0,0,31,45,38,25,10,7,7,30,18,7,3,0,0,1,4,1,0,0,0,71,227,MULHER
251250705000037,29,26,25,14,11,3,14,2,0,0,0,0,0,27,14,4,1,0,0,16,12,8,3,3,2,14,10,5,2,0,0,0,6,2,0,0,0,0,170,83,HOMEM
251250705000038,3,7,3,1,1,2,4,1,0,0,0,0,0,2,4,1,0,0,0,1,7,2,2,1,2,2,1,2,0,1,0,0,0,2,0,0,0,0,29,23,HOMEM
251250705000039,25,24,27,19,6,5,13,3,0,0,0,0,0,22,11,10,5,1,0,9,3,4,1,1,2,3,6,0,0,0,0,0,3,1,0,0,0,0,171,33,HOMEM
251250705000040,16,15,16,9,6,8,4,0,0,0,0,0,0,16,8,2,1,0,0,7,15,10,2,2,4,4,5,1,3,0,0,0,2,0,0,0,0,0,101,55,HOMEM
251250705000041,47,40,46,29,22,19,7,4,0,0,0,0,0,43,16,9,6,1,0,15,13,4,4,2,1,12,9,5,1,0,0,0,6,1,0,1,0,0,289,74,HOMEM
251250705000042,16,27,16,23,10,8,13,2,1,0,0,0,0,14,9,4,2,0,0,6,5,4,1,1,0,8,4,2,1,0,0,0,2,2,0,0,0,0,145,36,HOMEM
251250705000043,5,4,10,4,0,2,1,0,0,0,0,0,0,5,3,3,0,0,0,1,1,3,0,1,0,2,0,0,1,0,0,0,1,0,0,0,0,0,37,10,HOMEM
251250705000044,10,15,16,11,4,0,9,0,0,0,0,0,0,10,10,3,2,0,0,35,45,55,29,4,13,16,29,24,10,3,0,2,6,3,1,0,0,0,90,275,MULHER
251250705000045,10,31,30,14,3,3,1,1,0,0,0,0,0,9,10,1,1,0,0,7,12,8,3,1,1,7,5,5,4,1,0,0,2,4,0,0,0,0,114,60,HOMEM
251250705000046,20,21,13,4,3,5,2,3,0,1,0,0,0,17,9,1,0,0,0,3,7,2,1,0,1,9,2,3,1,0,0,0,1,0,0,0,0,0,99,30,HOMEM
251250705000047,28,40,39,22,3,9,10,3,1,0,0,0,0,25,14,10,5,1,0,5,12,6,4,0,5,5,4,5,1,0,0,0,1,2,1,0,0,0,210,51,HOMEM
251250705000048,30,24,31,15,5,8,10,2,0,0,0,0,0,28,13,6,2,0,0,16,16,18,6,2,5,10,13,8,4,1,0,0,3,1,1,0,0,0,174,104,HOMEM
251250705000049,23,35,25,22,6,10,9,0,1,1,0,0,0,23,20,6,3,0,0,5,6,4,8,3,2,10,3,1,0,1,0,0,2,2,0,1,0,1,184,49,HOMEM
251250705000050,21,35,15,7,10,4,7,1,2,0,0,0,0,20,14,6,1,1,0,7,8,5,2,0,0,9,7,0,1,0,0,0,0,2,0,0,0,0,144,41,HOMEM
251250705000051,27,44,36,13,3,8,9,2,0,0,0,0,0,25,27,6,4,0,0,21,17,15,10,4,3,4,15,7,2,2,0,0,6,3,1,0,0,0,204,110,HOMEM
251250705000052,29,41,25,11,2,2,8,5,1,0,0,0,0,24,23,6,3,0,0,11,19,13,6,0,3,9,5,5,5,1,0,0,6,2,2,0,0,0,180,87,HOMEM
251250705000053,17,35,35,12,2,5,9,0,0,0,0,0,0,17,14,6,0,0,0,26,21,9,4,3,3,14,17,5,1,1,0,0,9,4,0,0,0,0,152,117,HOMEM
251250705000054,11,23,7,5,3,3,3,0,0,0,0,0,0,11,12,0,0,0,0,20,30,26,17,10,9,6,16,12,5,2,0,0,4,1,0,1,0,0,78,159,MULHER
251250705000055,19,14,9,5,1,2,7,2,2,0,0,0,0,17,5,1,2,1,0,19,28,23,14,3,9,8,14,12,2,0,0,0,5,0,0,1,0,0,87,138,MULHER
251250705000056,13,9,7,4,2,2,13,1,0,0,0,0,0,12,3,1,1,0,0,38,40,26,8,8,6,16,25,18,6,0,0,0,13,6,1,0,0,0,68,211,MULHER
251250705000057,13,13,13,10,1,7,2,2,1,0,0,0,0,11,5,1,0,0,1,26,32,26,12,4,4,7,21,13,2,2,0,0,5,6,2,0,0,0,80,162,MULHER
251250705000058,14,19,15,10,4,4,4,0,0,0,0,0,0,14,6,5,0,1,0,4,3,3,1,0,1,4,3,1,0,1,0,0,1,0,0,0,0,0,96,22,HOMEM
251250705000059,18,29,20,16,5,4,3,4,0,0,0,0,0,14,11,4,0,1,0,7,8,8,4,3,0,10,6,4,2,0,0,0,1,0,1,0,0,0,129,54,HOMEM
251250705000060,21,35,21,20,4,2,3,1,1,0,0,0,0,20,14,4,3,0,0,6,10,4,2,2,1,8,2,5,1,0,0,0,4,2,0,0,0,0,149,47,HOMEM
251250705000061,13,17,16,12,2,1,2,0,0,0,0,0,0,13,10,3,1,1,0,11,4,6,3,2,0,4,6,2,3,0,1,0,5,0,1,0,0,0,91,48,HOMEM
